Age,Gender,Grade_Level,Math_Score,Writing_Score,Attendance_Rate,Extracurriculars,Graduation_Year,Graduation_Month,Academic_Average,Grade_Age_Gap,Graduation_Distance,Attendance_Band,Literacy_Level
13,Female,8,68.4,66.0,85.5,None,2028,7,67.2,0,2,Medium,Medium
14,Other,9,81.3,77.3,85.6,None,2027,7,79.3,0,1,Medium,Medium
13,Other,8,77.7,77.6,84.1,Art,2028,7,77.65,0,2,Low,Medium
13,Female,9,64.6,60.3,94.9,Sports,2027,6,62.449999999999996,1,1,Medium,Medium
7,Male,3,59.0,56.8,94.6,Art,2033,6,57.9,1,7,Medium,Low
13,Female,9,56.6,58.5,100.0,Sports,2027,6,57.55,1,1,High,Medium
16,Female,11,73.0,78.1,87.6,Music,2025,7,75.55,0,-1,Medium,Medium
9,Male,3,68.9,75.5,92.1,Science Club,2033,6,72.2,-1,7,Medium,Medium
13,Male,9,75.4,71.7,84.6,None,2027,6,73.55000000000001,1,1,Low,Medium
6,Male,1,68.0,66.3,89.3,Music,2035,6,67.15,0,9,Medium,Medium
10,Male,6,78.3,70.1,88.4,None,2030,6,74.19999999999999,1,4,Medium,Medium
11,Female,6,67.4,73.7,93.3,None,2030,7,70.55000000000001,0,4,Medium,Medium
18,Male,12,77.8,67.6,96.1,Sports,2024,7,72.69999999999999,-1,-2,High,Medium
8,Female,3,79.1,80.1,96.0,Music,2033,6,79.6,0,7,High,High
9,Female,5,53.9,64.4,86.8,None,2031,7,59.150000000000006,1,5,Medium,Low
11,Female,7,38.9,55.2,96.0,None,2029,7,47.05,1,3,High,Medium
18,Male,12,89.2,78.8,90.8,Music,2024,7,84.0,-1,-2,Medium,High
17,Male,12,69.8,65.9,89.4,Science Club,2024,6,67.85,0,-2,Medium,Medium
6,Female,1,40.3,54.8,87.5,Science Club,2035,7,47.55,0,9,Medium,Low
9,Female,5,55.3,63.5,88.2,None,2031,6,59.4,1,5,Medium,Medium
16,Female,12,77.6,78.4,99.7,None,2024,7,78.0,1,-2,High,High
6,Female,2,61.8,63.9,92.5,Sports,2034,6,62.849999999999994,1,8,Medium,Medium
17,Male,12,58.3,62.3,91.9,Sports,2024,7,60.3,0,-2,Medium,Medium
9,Female,4,87.0,78.3,89.7,Sports,2032,6,82.65,0,6,Medium,Medium
17,Male,12,50.3,59.7,100.0,None,2024,7,55.0,0,-2,High,Medium
9,Male,5,54.0,59.1,97.5,None,2031,7,56.55,1,5,High,Low
11,Female,5,69.2,68.0,87.4,None,2031,6,68.6,-1,5,Medium,Medium
14,Male,9,71.9,71.2,89.6,Sports,2027,7,71.55000000000001,0,1,Medium,Medium
7,Male,1,73.4,74.2,89.9,Science Club,2035,7,73.80000000000001,-1,9,Medium,Medium
13,Male,9,79.7,77.2,91.7,Sports,2027,6,78.45,1,1,Medium,Medium
12,Male,7,69.0,72.7,87.5,Music,2029,6,70.85,0,3,Medium,Medium
16,Female,11,73.3,73.6,93.2,Music,2025,7,73.44999999999999,0,-1,Medium,Medium
18,Male,12,62.1,66.6,98.3,None,2024,7,64.35,-1,-2,High,Medium
14,Female,9,66.9,69.2,84.4,Sports,2027,7,68.05000000000001,0,1,Low,Medium
11,Female,7,67.6,68.6,85.4,Science Club,2029,7,68.1,1,3,Medium,Medium
11,Male,6,69.2,64.3,88.6,None,2030,7,66.75,0,4,Medium,Medium
11,Male,6,77.6,70.6,88.8,Science Club,2030,6,74.1,0,4,Medium,Medium
16,Female,10,74.3,71.6,100.0,Sports,2026,6,72.94999999999999,-1,0,High,Medium
10,Female,4,66.7,66.0,96.0,None,2032,6,66.35,-1,6,High,Medium
8,Female,3,53.9,59.5,95.7,Science Club,2033,6,56.7,0,7,High,Medium
10,Female,6,67.0,69.1,89.7,Art,2030,7,68.05,1,4,Medium,Medium
6,Male,2,65.6,67.4,89.6,Science Club,2034,7,66.5,1,8,Medium,Medium
7,Male,2,68.9,72.5,83.7,None,2034,6,70.7,0,8,Low,Medium
7,Female,2,99.1,87.8,94.9,Art,2034,7,93.44999999999999,0,8,Medium,High
16,Male,11,58.1,65.6,93.5,Art,2025,6,61.849999999999994,0,-1,Medium,Medium
15,Female,9,72.3,68.9,97.4,Art,2027,6,70.6,-1,1,High,Medium
15,Female,9,82.0,75.3,89.9,Sports,2027,7,78.65,-1,1,Medium,Medium
12,Female,7,67.5,69.0,90.3,None,2029,7,68.25,0,3,Medium,Medium
15,Male,9,100.0,83.1,91.9,Sports,2027,7,91.55,-1,1,Medium,High
8,Male,2,60.3,64.4,95.5,Music,2034,6,62.35,-1,8,High,Medium
17,Male,11,70.9,65.4,83.6,Music,2025,7,68.15,-1,-1,Low,Medium
12,Male,6,54.0,56.3,94.7,Music,2030,7,55.15,-1,4,Medium,Low
18,Female,12,60.7,59.8,90.9,Music,2024,6,60.25,-1,-2,Medium,Low
7,Male,3,69.7,74.8,85.7,Science Club,2033,6,72.25,1,7,Medium,Medium
12,Male,8,78.7,77.6,80.6,Music,2028,6,78.15,1,2,Low,Medium
15,Male,10,70.8,68.1,90.3,Sports,2026,7,69.44999999999999,0,0,Medium,Medium
12,Male,7,84.9,83.3,98.2,None,2029,6,84.1,0,3,High,High
11,Female,5,64.6,65.1,99.4,None,2031,6,64.85,-1,5,High,Medium
8,Male,2,61.0,70.8,92.8,Art,2034,6,65.9,-1,8,Medium,High
10,Other,5,100.0,84.8,100.0,Music,2031,6,92.4,0,5,High,High
9,Male,4,71.9,72.3,90.8,Sports,2032,7,72.1,0,6,Medium,Medium
9,Female,3,55.2,58.9,95.8,Sports,2033,7,57.05,-1,7,High,Medium
14,Male,9,55.6,59.3,88.7,Music,2027,6,57.45,0,1,Medium,Low
14,Male,8,51.9,64.1,88.4,None,2028,6,58.0,-1,2,Medium,Medium
13,Female,7,80.0,76.1,87.6,None,2029,6,78.05,-1,3,Medium,Medium
10,Female,6,60.5,67.7,80.7,Music,2030,7,64.1,1,4,Low,Medium
18,Female,12,67.9,63.2,97.4,None,2024,6,65.55000000000001,-1,-2,High,Medium
7,Male,2,65.0,69.5,87.8,Art,2034,7,67.25,0,8,Medium,Medium
10,Male,6,77.0,73.0,87.0,Music,2030,6,75.0,1,4,Medium,Medium
7,Female,3,53.3,61.4,85.1,Art,2033,6,57.349999999999994,1,7,Medium,Medium
10,Male,6,49.9,58.9,90.0,Sports,2030,7,54.4,1,4,Medium,Low
18,Female,12,69.4,67.6,99.8,None,2024,6,68.5,-1,-2,High,Medium
10,Female,6,75.0,67.6,100.0,Music,2030,7,71.3,1,4,High,Medium
17,Female,12,71.0,75.0,82.7,Science Club,2024,7,73.0,0,-2,Low,Medium
12,Female,8,53.9,62.6,89.2,Music,2028,6,58.25,1,2,Medium,Medium
15,Female,11,76.2,69.7,85.8,None,2025,7,72.95,1,-1,Medium,Medium
11,Male,6,54.8,55.7,95.9,Science Club,2030,7,55.25,0,4,High,Low
9,Male,5,58.2,60.2,92.4,Art,2031,7,59.2,1,5,Medium,Low
15,Female,10,51.8,55.3,87.8,Sports,2026,6,53.55,0,0,Medium,Low
18,Male,12,85.5,83.0,91.4,None,2024,6,84.25,-1,-2,Medium,High
9,Male,3,75.5,72.0,88.6,Art,2033,7,73.75,-1,7,Medium,Medium
16,Male,12,75.1,68.4,99.1,Music,2024,7,71.75,1,-2,High,Medium
9,Female,4,84.7,77.2,93.7,None,2032,6,80.95,0,6,Medium,Medium
15,Female,11,100.0,78.4,94.3,Sports,2025,7,89.2,1,-1,Medium,Medium
16,Female,11,40.4,47.4,77.7,Music,2025,7,43.9,0,-1,Low,Low
11,Male,7,54.9,60.5,90.7,Art,2029,7,57.7,1,3,Medium,Low
15,Male,9,56.8,64.2,100.0,Music,2027,7,60.5,-1,1,High,Low
9,Female,3,53.2,65.3,97.6,Art,2033,6,59.25,-1,7,High,Medium
7,Male,2,49.8,60.2,81.8,Music,2034,7,55.0,0,8,Low,Medium
7,Female,3,61.5,65.9,89.4,Sports,2033,6,63.7,1,7,Medium,Medium
11,Female,7,47.8,53.8,85.0,Sports,2029,6,50.8,1,3,Low,Low
17,Male,12,71.0,73.8,99.6,Sports,2024,7,72.4,0,-2,High,Medium
7,Male,2,66.8,62.1,92.2,None,2034,6,64.45,0,8,Medium,Low
11,Male,6,73.2,77.6,87.2,Science Club,2030,7,75.4,0,4,Medium,Medium
15,Female,11,73.6,74.8,91.2,Art,2025,6,74.19999999999999,1,-1,Medium,Medium
8,Female,3,75.0,66.7,78.0,Music,2033,6,70.85,0,7,Low,Medium
15,Male,10,60.4,62.1,85.6,None,2026,6,61.25,0,0,Medium,Medium
9,Female,5,97.8,83.0,91.2,Sports,2031,7,90.4,1,5,Medium,High
16,Male,10,69.5,65.4,95.2,Music,2026,6,67.45,-1,0,High,Medium
13,Male,9,38.1,47.4,81.3,Science Club,2027,6,42.75,1,1,Low,Low
13,Female,7,51.0,69.3,89.1,Art,2029,6,60.15,-1,3,Medium,Medium
8,Male,2,39.9,51.8,96.0,None,2034,6,45.849999999999994,-1,8,High,Low
12,Male,8,66.3,65.0,83.7,None,2028,7,65.65,1,2,Low,Medium
17,Female,12,64.2,65.5,92.1,None,2024,6,64.85,0,-2,Medium,Medium
6,Male,2,59.0,60.7,91.3,Sports,2034,6,59.85,1,8,Medium,Low
15,Female,11,96.2,82.0,99.6,Sports,2025,6,89.1,1,-1,High,High
12,Male,7,74.2,69.6,89.8,Sports,2029,6,71.9,0,3,Medium,Medium
15,Male,10,76.9,71.5,90.1,None,2026,6,74.2,0,0,Medium,Medium
14,Male,8,52.0,59.5,95.3,None,2028,7,55.75,-1,2,High,Low
11,Male,5,51.0,60.3,84.4,None,2031,6,55.65,-1,5,Low,Medium
10,Male,4,66.6,64.1,89.9,Music,2032,6,65.35,-1,6,Medium,Medium
14,Male,8,68.6,72.8,88.7,None,2028,6,70.69999999999999,-1,2,Medium,Medium
7,Female,2,38.2,54.3,90.3,Art,2034,7,46.25,0,8,Medium,Low
13,Male,9,63.3,63.0,95.2,None,2027,7,63.15,1,1,High,Medium
7,Male,3,66.2,61.7,93.8,Art,2033,7,63.95,1,7,Medium,Medium
14,Male,9,62.8,63.1,87.3,Sports,2027,7,62.95,0,1,Medium,Medium
14,Male,10,53.8,59.2,91.7,Sports,2026,6,56.5,1,0,Medium,Low
7,Male,3,57.9,60.3,98.5,None,2033,7,59.099999999999994,1,7,High,Low
15,Female,11,63.3,64.0,86.8,Art,2025,7,63.65,1,-1,Medium,Medium
11,Male,6,67.4,66.0,91.7,Music,2030,6,66.7,0,4,Medium,Medium
16,Female,10,75.1,75.4,90.0,Music,2026,7,75.25,-1,0,Medium,High
6,Female,2,82.2,75.8,90.7,Music,2034,7,79.0,1,8,Medium,High
8,Male,2,61.6,62.8,82.8,None,2034,7,62.2,-1,8,Low,Medium
12,Male,7,59.2,61.3,98.1,Sports,2029,6,60.25,0,3,High,Medium
8,Male,2,72.6,70.7,87.1,Sports,2034,7,71.65,-1,8,Medium,Medium
10,Female,6,75.2,75.3,96.1,None,2030,7,75.25,1,4,High,Medium
14,Male,9,59.5,58.9,87.9,Art,2027,6,59.2,0,1,Medium,Medium
7,Female,1,77.9,74.4,87.9,Sports,2035,7,76.15,-1,9,Medium,Medium
14,Female,8,80.7,76.8,97.1,Sports,2028,7,78.75,-1,2,High,Medium
7,Female,2,85.4,79.1,96.0,Sports,2034,6,82.25,0,8,High,High
8,Female,3,92.7,78.4,92.0,Music,2033,6,85.55000000000001,0,7,Medium,Medium
13,Other,9,53.0,62.8,94.8,Sports,2027,6,57.9,1,1,Medium,Medium
16,Male,10,66.2,68.8,89.6,Sports,2026,7,67.5,-1,0,Medium,Medium
8,Male,4,66.2,64.3,91.0,None,2032,7,65.25,1,6,Medium,Medium
9,Male,4,64.5,71.9,87.7,None,2032,6,68.2,0,6,Medium,Medium
18,Female,12,56.3,70.9,95.5,None,2024,7,63.6,-1,-2,High,Medium
18,Female,12,43.7,57.3,87.5,Music,2024,7,50.5,-1,-2,Medium,Low
13,Female,7,67.4,75.2,98.4,Music,2029,7,71.30000000000001,-1,3,High,Medium
11,Male,5,54.5,57.6,89.4,None,2031,7,56.05,-1,5,Medium,Medium
10,Female,5,67.3,71.6,91.1,None,2031,7,69.44999999999999,0,5,Medium,Medium
13,Female,9,54.1,55.0,94.8,Art,2027,7,54.55,1,1,Medium,Low
13,Female,7,49.5,59.2,91.1,Music,2029,7,54.35,-1,3,Medium,Low
9,Female,4,69.5,68.9,89.5,Music,2032,7,69.2,0,6,Medium,Medium
6,Male,1,68.3,66.8,90.8,Art,2035,6,67.55,0,9,Medium,Medium
7,Male,3,74.7,74.1,95.5,Art,2033,7,74.4,1,7,High,Medium
18,Female,12,98.8,86.2,87.7,Sports,2024,7,92.5,-1,-2,Medium,High
11,Male,7,70.2,66.7,90.4,None,2029,7,68.45,1,3,Medium,Medium
12,Male,8,73.3,73.4,91.1,Science Club,2028,6,73.35,1,2,Medium,Medium
12,Male,7,49.8,59.3,95.3,Science Club,2029,7,54.55,0,3,High,Medium
16,Male,12,46.7,51.1,90.5,Sports,2024,6,48.900000000000006,1,-2,Medium,Low
6,Female,1,89.7,88.3,100.0,None,2035,6,89.0,0,9,High,High
7,Female,3,52.1,58.8,90.2,None,2033,6,55.45,1,7,Medium,Medium
9,Male,5,50.3,59.9,89.8,Sports,2031,6,55.099999999999994,1,5,Medium,Medium
12,Male,8,65.4,67.7,90.1,Science Club,2028,7,66.55000000000001,1,2,Medium,Medium
14,Male,9,64.6,68.8,84.4,Science Club,2027,7,66.69999999999999,0,1,Low,Medium
12,Female,8,52.5,59.8,85.8,None,2028,7,56.15,1,2,Medium,Medium
11,Female,6,61.4,62.4,88.3,Sports,2030,7,61.9,0,4,Medium,Medium
18,Female,12,84.4,81.4,96.7,None,2024,6,82.9,-1,-2,High,High
8,Male,4,53.9,55.5,90.8,Art,2032,7,54.7,1,6,Medium,Low
13,Male,7,45.1,55.7,88.6,Sports,2029,6,50.400000000000006,-1,3,Medium,Low
13,Male,7,80.1,75.8,97.1,Sports,2029,7,77.94999999999999,-1,3,High,Medium
12,Female,7,73.4,74.5,98.8,Sports,2029,6,73.95,0,3,High,Medium
16,Male,10,56.7,62.7,97.3,Music,2026,7,59.7,-1,0,High,Medium
9,Female,5,42.3,58.4,86.7,Art,2031,7,50.349999999999994,1,5,Medium,Low
18,Female,12,54.8,60.4,88.5,None,2024,7,57.599999999999994,-1,-2,Medium,Low
10,Male,4,65.2,68.1,100.0,Sports,2032,7,66.65,-1,6,High,Medium
13,Male,9,83.5,77.6,92.2,None,2027,7,80.55,1,1,Medium,High
12,Male,7,50.5,60.2,89.7,Sports,2029,6,55.35,0,3,Medium,Medium
17,Male,11,64.7,68.2,94.6,Science Club,2025,7,66.45,-1,-1,Medium,Medium
11,Male,7,76.1,73.4,96.0,None,2029,6,74.75,1,3,High,Medium
9,Female,4,30.3,49.2,88.1,None,2032,6,39.75,0,6,Medium,Low
6,Male,1,81.5,75.0,92.1,Science Club,2035,7,78.25,0,9,Medium,Medium
10,Male,6,48.3,56.9,95.6,None,2030,6,52.599999999999994,1,4,High,Medium
16,Female,11,71.0,66.4,85.2,Sports,2025,6,68.7,0,-1,Medium,Medium
6,Female,2,69.7,72.0,91.1,Sports,2034,6,70.85,1,8,Medium,Medium
17,Male,12,82.3,73.4,85.4,Art,2024,7,77.85,0,-2,Medium,Medium
13,Female,8,74.3,70.6,86.1,Sports,2028,7,72.44999999999999,0,2,Medium,Medium
7,Female,3,30.3,48.7,88.2,Music,2033,6,39.5,1,7,Medium,Low
9,Female,3,54.2,61.3,93.4,Sports,2033,7,57.75,-1,7,Medium,Low
13,Female,7,68.1,69.0,89.4,None,2029,6,68.55,-1,3,Medium,Medium
10,Male,5,63.1,71.3,87.8,None,2031,6,67.2,0,5,Medium,Medium
7,Female,3,73.2,66.8,91.3,None,2033,6,70.0,1,7,Medium,Medium
14,Male,9,77.8,73.4,85.3,None,2027,6,75.6,0,1,Medium,Medium
14,Female,9,75.1,61.5,93.1,Sports,2027,7,68.3,0,1,Medium,Medium
7,Female,3,62.8,61.6,96.7,Sports,2033,6,62.2,1,7,High,Medium
9,Male,5,38.3,54.0,90.6,Science Club,2031,6,46.15,1,5,Medium,Low
9,Male,5,59.2,59.5,90.0,Science Club,2031,7,59.35,1,5,Medium,Low
14,Female,8,72.2,72.5,92.9,Music,2028,6,72.35,-1,2,Medium,Medium
15,Female,11,49.6,57.5,80.9,Art,2025,7,53.55,1,-1,Low,Low
